"id","titulo","guia_id"
645,"Tempo Médio de Atendimento ao Paciente (Tempo Porta Atendimento) (↓)",NULL
646,"Percentual de Notificação de Potenciais Doadores de Tecido Ocular em Óbitos por Parada Cardiorrespiratória (PCR) (↑)",NULL
647,"Número de Centros de Atenção Psicossocial (CAPS) (↑)",NULL
648,"Percentual da População Beneficiária de Planos de Saúde Privados ",NULL
649,"Proporção da População Servida por Rede de Abastecimento de Água (↑)",NULL
650,"Tempo Médio do Processo de Doação de Sangue (↓)",NULL
651,"Percentual de Efetivação da Doação de Órgãos (↑)",NULL
652,"Percentual de Cumprimento do Cronograma Físico Financeiro de Obra ou Serviço de Engenharia (↑)",NULL
653,"Taxa de Desemprego (↓)",NULL
654,"Percentual de Óbitos Maternos Investigados (↑)",NULL
655,"Razão do Quantitativo de Consultas Ofertadas (↑ →)",NULL
656,"Percentual de Leitos Gerais Implantados nos Hospitais Estaduais por Macrorregião no Quadrimestre (↑)",NULL
657,"Densidade de Incidência de Infecção de Pneumonia Associada à Ventilação Mecânica (DI de PAV) (↓)",NULL
658,"Percentual de Serviços Considerados Essenciais Oferecidos na Atenção Primária (↑)",NULL
659,"Renda Média Domiciliar (↑)",NULL
660,"Percentual de Diabéticos e Hipertensos Acompanhados na Atenção Primária (↑)",NULL
661,"Número Absoluto de Casos de Doenças/Agravos/Eventos de Notificação Compulsória Notificados na Unidade de Saúde (↑)",NULL
662,"Proporção de Pessoas Hipertensas com Pelo Menos 1 Consulta Realizada no Semestre (↑)",NULL
663,"Taxa de Acidentes de Trabalho com Perfurocortantes (↓)",NULL
664,"Proporção de Registro de Óbitos com Causa Básica Definida (↑)",NULL
665,"Densidade de Incidência de Infecção do Trato Urinário Associada à Cateter Vesical de Demora (DI de ITU-AC) (↓)",NULL
666,"Proporção de Internações por Infarto Agudo do Miocárdio (IAM) (↓)",NULL
667,"Percentual de Requisições de Medicamentos para Toxoplasmose Atendidos em 48 horas (↑)",NULL
668,"Taxa de Doador de Repetição (↑)",NULL
669,"Proporção de Mulheres em Idade Fértil - 10-49 anos",NULL
670,"Índice de Gini (↓)",NULL
671,"Percentual de Consultas Especializadas com Mastologista para as Pacientes que Realizaram Mamografia nas Carretas de Prevenção das Policlínicas (↑)",NULL
672,"Taxa Bruta de Natalidade",NULL
673,"Taxa de Denúncia de Assédio no Trabalho (↓)",NULL
674,"Proporção de Nascidos Vivos de Baixo Peso (↓)",NULL
675,"Proporção da População por Sexo e Faixa Etária ",NULL
676,"Percentual de Satisfação do Usuário (↑)",NULL
677,"Média de Permanência Hospitalar (dias) (↓|→)",NULL
678,"Densidade Demográfica ",NULL
679,"Taxa de Pessoas com Emprego Formal (↑)",NULL
680,"Razão de Tratamento de Denúncias de Assédio no Trabalho (↑)",NULL
681,"Percentual de Regularidade de Licenças e Alvarás Necessários à Execução das Atividades e/ou Serviços Constantes do Contrato de Gestão (↑)",NULL
682,"Número de Mulheres em Idade Fértil (10-49 anos)",NULL
683,"Proporção da População Servida com Esgotamento Sanitário (↑)",NULL
684,"Percentual de Absenteísmo de Consultas Médicas Especializadas (↓)",NULL
685,"Percentual de Execução de Cirurgias Eletivas (AIH ou APAC) (↑)",NULL
686,"Percentual de Cumprimento das Normativas para Solicitação de Recursos a Título de Investimento para Obras e Serviços de Engenharia  (↑)",NULL
687,"Taxa de Ocupação do Centro Cirúrgico (↑)",NULL
688,"Taxa de Infecção de Sítio Cirúrgico (ISC) (↓)",NULL
689,"Taxa de Incidência de Casos Notificados de Dengue (↓)",NULL
690," Densidade de Incidência de Infecção Primária de Corrente Sanguínea Laboratorial - DI de IPCL (↓)",NULL
691,"Número Absoluto de Casos de Violência Interpessoal/Autoprovocada Registrados no SINAN (↑) ",NULL
692,"Percentual de Leitos Bloqueados por Motivo Operacional (↓)",NULL
693,"Taxa de Crescimento da População ",NULL
694,"Percentual de Óbitos Não Fetais com Causa Básica Mal Definida Investigados (↑)",NULL
695,"Percentual de Declaração de Óbitos Preenchidas Com Causa Básica Bem Definida (↑)",NULL
696,"População de Nascidos Vivos",NULL
697,"Taxa de Aplicação da Classificação de Robson nas Parturientes Submetidas à Cesariana (↑) ",NULL
698,"Percentual de Municípios que Realizam a Inserção de Dispositivo Intrauterino-DIU na Atenção Básica (↑)",NULL
699,"População Total Agrupada por Ciclos de Vida: Crianças, Adolescentes, Jovens, Adultos e Idosos",NULL
700,"Cobertura Vacinal de Poliomielite (↑)",NULL
701,"Taxa de Doador de Primeira Vez  (↑)",NULL
702,"Proporção de Municípios que Realizaram o Monitoramento de Dados de Saúde da Pessoa Idosa no Estado de Goiás (↑)",NULL
703,"Percentual de Recusa Familiar para Doação de Tecido Ocular em Óbitos por Parada Cardiorrespiratória (PCR) (↓)",NULL
704,"Percentual de Óbitos Infantis Investigados  (↑)",NULL
705,"Índice de Intervalo de Substituição de Leitos Hospitalares (dia) (↓)",NULL
706,"Taxa de Utilização (TU) de Ventilação Mecânica (VM) (↓)",NULL
707,"Percentual de Suspensão de Cirurgias Programadas por Condições Operacionais (Causas Relacionadas ao Paciente)  (↓)",NULL
708,"Porcentagem de Mortalidade Institucional (↓)",NULL
709,"Percentual de Exames de Imagem com Resultado Disponibilizado em até 72 Horas (↑)",NULL
710,"Taxa de Utilização de Cateter Vesical de Demora (CVD) (↓)",NULL
711,"Taxa de Mortalidade por Acidente de Transporte Terrestre (↓)",NULL
712,"Percentual de Atendimento Interno às Solicitações de Hemocomponentes (↑) ",NULL
713,"Percentual de Exames de Imagem com Resultado Disponibilizado em até 10 Dias (↑)",NULL
714,"Percentual  de Concessão de OPME (↑)",NULL
715,"Proporção de Gestantes com pelo Menos 6 (seis) Consultas Pré-Natal Realizadas, Sendo a Primeira até a 12ª Semana de Gestação (↑)",NULL
716,"Cobertura Vacinal de Febre Amarela na Criança Menor de 1 ano de Idade (↑)",NULL
717,"Percentual de Óbitos com Doenças de Notificação Compulsória Investigados (↑)",NULL
718,"Razão de Exames de Mamografia de Rastreamento Realizados em Mulheres de 50 a 69 Anos de Idade (↑)",NULL
719," Proporção da População Servida por Coleta de Lixo (↑)",NULL
720,"Variação da Proporção de Resíduos por Grupo (↓)",NULL
721,"Percentual de Cumprimento dos Planos de Manutenção Preventiva (PMP) dos Sistemas de Climatização, Ventilação e Exaustão (↑)",NULL
722,"Proporção de Óbitos Infantis e Fetais Investigados (↑)",NULL
723,"Percentual de Óbitos Mulheres em Idade Fértil- MIF (10 a 49 Anos) Investigados (↑)",NULL
724,"Taxa de Analfabetismo (↓)",NULL
725,"Percentual de Conclusão do Plano de Manutenções Programadas em Equipamentos Médicos Assistenciais (↑)",NULL
726,"Taxa de Mortalidade de Câncer de Mama em Mulheres (↓)",NULL
727,"Taxa de Readmissão em UTI (↓) (48 Horas) ",NULL
728,"Taxa de Amostra de Sangue Descartada por Lipemia (↓)",NULL
729,"Taxa de Recaída (3 Meses)  (↓)",NULL
730,"Percentual de Ocorrência de Glosas no SIH-SUS (↓)",NULL
731,"Produto Interno Bruto per Capita (PIB)",NULL
732,"Índice de Produção de Hemocomponentes (↑)",NULL
733,"Percentual de Cumprimento de Visita Técnica e Administrativa nas Unidades Assistidas pelo Hemocentro Coordenador (↑)",NULL
734,"Percentual de Atendimento Externo às Solicitações de Hemocomponentes (↑) ",NULL
735,"Incidência de Hepatite C (↓)",NULL
736,"Percentual de Encaminhamentos para Atendimento Especializado (↓)",NULL
737,"Incidência de Hepatite B (↓)",NULL
738,"Taxa de Detecção de Hepatite B (↑)",NULL
739,"Percentual de Divergência de Estoque Físico e Virtual de Medicamentos do Componente Especializado da Assistência Farmacêutica no Balanço Quinzenal (↓)",NULL
740,"Número de Pacientes Habilitados no Serviço de Atenção Domiciliar Estadual  (SAD) (↑)",NULL
741,"Proporção de Cura dos Casos Novos de Hanseníase Diagnosticados nos Anos das Coortes (↑)",NULL
742,"Número Absoluto de Casos de Sarampo Confirmados (↓)",NULL
743,"Prevalência de Excesso de Peso em Adultos (↓) ",NULL
744,"Prevalência de Excesso de Peso para Idade Segundo IMC em Crianças Menores de 5 Anos (↓)",NULL
745,"iRAPS – Índice da Rede de Atenção Psicossocial (↑)",NULL
746,"Percentual de Manifestações Queixosas Recebidas no Sistema de Ouvidoria do SUS (↓)",NULL
747,"Percentual de Execução de Cirurgias Eletivas Ambulatoriais (BPA) (↑)",NULL
748,"Razão de Consultas de Enfermeiros em Relação as Consultas Médicas (↑)",NULL
749,"Esperança de Vida ao Nascer (↑)",NULL
750,"Percentual de Manifestações da Unidade de Saúde Respondidas no Prazo Legal (↑)",NULL
751,"Proporção de Internações por Condições Sensíveis à Atenção Básica - ICSAB (↓)",NULL
